A  a
JAMBES  z^ a~ b
JAMBON  z^ a~ b o~
JANVIER  z^ a~ v j e
JAPON  z^ a p o~
JAPPAIT  z^ a p e^ t
JAPPEMENT  z^ a p x^ m a~
JAQUETTE  z^ a k e^ t
JARDIN  z^ a r d e~
JARDIN-THÉ  z^ a r d e~ t e
JARDINET  z^ a r d i n e^
JARDINIER  z^ a r d i n j e
JARDINIÈRES  z^ a r d i n j e^ r q
JARDINS  z^ a r d e~
JARDYNE  z^ a r d i n q
JARDYNE  d z^ a r d a i n
JARRES  z^ a r z
JARRES  z^ a r
JARRETIÈRE  z^ a r x^ t j e^ r
JARS  z^ a r
JASER  z^ a z e
JASMIN  z^ a s m e~
JASPE  z^ a s p
JASPINAIS  z^ a s p i n e^
JASPINER  z^ a s p i n e
JASPINEZ  z^ a s p i n e
JAUNE  z^ o n
JAUNE  z^ o n q
JAUNE-SERIN  z^ o n s x^ r e~
JAUNES  z^ o n
JAUNES  z^ o n z
JAUNES  z^ o n q
JAUNIE  z^ o n i
JAUNÂTRE  z^ o n a t r q
JAUNÂTRE  z^ o n a t r x^
JAUNÂTRES  z^ o n a t r
JE  z^ x^
JE  z^ q
JE  z^
JEAN-ANTOINE  z^ a~ a~ t w a n
JEAN-AUGUSTE  z^ a~ o g y s t q
JEAN-RENÉ  z^ a~ r x^ n e
JEANNETTE  z^ a n e^ t q
JET  z^ e^
JETA  z^ x^ t a
JETAI  z^ x^ t e
JETAIENT  z^ x^ t e^ t
JETAIENT  z^ x^ t e^
JETAIT  z^ x^ t e^ t
JETAIT  z^ x^ t e^
JETANT  z^ x^ t a~
JETANT  z^ x^ t a~ t
JETER  z^ x^ t e r
JETER  z^ x^ t e
JETEZ-VOUS  z^ x^ t e v u z
JETS  z^ e^
JETTE  z^ e^ t
JETTE  z^ e^ t q
JETTENT  z^ e^ t q
JETTERA  z^ e^ t r a
JETTERAIT  z^ e^ t x^ r e^
JETTES  z^ e^ t
JETÈRENT  z^ x^ t e^ r
JETÈRENT  z^ x^ t e^ r t
JETÉ  z^ x^ t e
JETÉE  z^ x^ t e
JEU  z^ x
JEUDI  z^ x d i
JEUN  z^ x~
JEUNE  z^ x^ n q
JEUNE  z^ x^ n
JEUNES  z^ x^ n q
JEUNES  z^ x^ n
JEUNES  z^ x^ n z
JEUNES  z^ x^ n x^
JEUNESSE  z^ x^ n e^ s
JEUNESSE  z^ x n e^ s
JEÛNER  z^ x n e
JEÛNÉ  z^ x n e
JOAILLIER  z^ o^ a j e
JOAILLIERS  z^ o a j e
JOB  z^ o^ b q
JOCKEYS  z^ o^ k e^
JOCONDE  z^ o^ k o~ d q
JOIE  z^ w a
JOIES  z^ w a
JOIGNAIT  z^ w a n j e^ t
JOIGNANT  z^ w a n j a~
JOIGNIT  z^ w a n j i
JOIGNIT  z^ w a n~ i
JOINDRAIS  z^ w e~ d r e^
JOINDRAIT  z^ w e~ d r e^
JOINDRE  z^ w e~ d r
JOINS  z^ w e~
JOINT  z^ w e~ t
JOINT  z^ w e~
JOINTE  z^ w e~ t
JOINTES  z^ w e~ t x^ z
JOINTES  z^ w e~ t
JOLI  z^ o^ l i
JOLIE  z^ o^ l i
JOLIES  z^ o^ l i
JOLIES  z^ o^ l i z
JOLIMENT  z^ o^ l i m a~
JOLIMENT  z^ o^ l i m a~ t
JOLIS  z^ o^ l i
JOLIS  z^ o^ l i z
JONC  z^ o~
JONCS  z^ o~ z
JONCS  z^ o~
JONQUES  z^ o~ k
JONQUILLE  z^ o~ k i j
JOSEPH  z^ o^ z e^ f
JOUAIT  z^ w e^ t
JOUAIT  z^ w e^
JOUANT  z^ w a~
JOUE  z^ u
JOUENT  z^ u t
JOUENT  z^ u
JOUER  z^ w e
JOUER  z^ w e r
JOUES  z^ u
JOUES  z^ u z
JOUET  z^ w e^
JOUEUR  z^ w x^ r
JOUEURS  z^ w x^ r
JOUEZ-VOUS  z^ w e v u
JOUFFLUS  z^ u f l y
JOUG  z^ u
JOUG  z^ u g
JOUIONS  z^ u j o~ z
JOUIR  z^ w i r
JOUIRAIT  z^ w i r e^
JOUISSAIENT  z^ w i s e^
JOUISSAIT  z^ w i s e^ t
JOUISSAIT  z^ w i s e^
JOUISSANCE  z^ w i s a~ s
JOUISSANCES  z^ w i s a~ s
JOUISSEZ  z^ w i s e
JOUJOUX  z^ u z^ u
JOUONS  z^ w o~ z
JOUR  z^ u r
JOUR-LÀ  z^ u r l a
JOURNAL  z^ u r n a l
JOURNALIERS  z^ u r n a l j e
JOURNAUX  z^ u r n o
JOURNELLEMENT  z^ u r n e^ l m a~
JOURNELLEMENT  z^ u r n e^ l m a~ t
JOURNÉE  z^ u r n e
JOURNÉES  z^ u r n e
JOURS  z^ u r
JOURS  z^ u r z
JOURS-LÀ  z^ u r l a
JOUÈRENT  z^ u e^ r
JOUÉ  z^ w e
JOUÉ  z^ u e
JOUÉS  z^ w e z
JOVIAL  z^ o^ v j a l
JOYAU  z^ w a j o
JOYEUSE  z^ w a j x z
JOYEUSE  z^ w a j x z q
JOYEUSEMENT  z^ w a j x z m a~ t
JOYEUX  z^ w a j x
JOYEUX  z^ w a j x z
JUBILATION  z^ y b i l a s j o~
JUCHOIRS  z^ y s^ w a r
JUDAS  z^ y d a
JUDITH  z^ y d i t
JUGE  z^ y z^
JUGE  z^ y z^ q
JUGEANT  z^ y z^ a~ t
JUGEMENT  z^ y z^ x^ m a~
JUGEMENT  z^ y z^ m a~
JUGER  z^ y z^ e
JUGERA  z^ y z^ x^ r a
JUGES  z^ y z^ q
JUGES  z^ y z^
JUGEZ  z^ y z^ e
JUGEZ-VOUS  z^ y z^ e v u
JUGULAIRE  z^ y g y l e^ r
JUGÉ  z^ y z^ e
JUGÉE  z^ y z^ e
JUILLET  z^ h i j e^
JULES  z^ y l q
JULIETTE  z^ y l j e^ t
JUPE  z^ y p q
JUPE  z^ y p
JUPES  z^ y p
JUPON  z^ y p o~
JURAIENT  z^ y r e^
JURAIT  z^ y r e^
JURANT  z^ y r a~
JURE  z^ y r
JURER  z^ y r e
JUREZ  z^ y r e
JURISPRUDENCE  z^ y r i s p r y d a~ s
JURY  z^ y r i
JURÉ  z^ y r e
JUS  z^ y
JUSQU'ALORS  z^ y s k a l o^ r
JUSQU'ALORS  z^ y s k a l o^ r z
JUSQU'AU  z^ y s k o
JUSQU'AUX  z^ y s k o
JUSQU'AUX  z^ y s k o z
JUSQU'ICI  z^ y s k i s i
JUSQU'À  z^ y s k a
JUSQUE  z^ y s k q
JUSQUE-LÀ  z^ y s k x^ l a
JUSQUE-LÀ  z^ y s k q l a
JUSTE  z^ y s t
JUSTE  z^ y s t q
JUSTEMENT  z^ y s t x^ m a~
JUSTES  z^ y s t q
JUSTES  z^ y s t
JUSTICE  z^ y s t i s
JUSTICE  z^ y s t i s q
JUSTICIABLE  z^ y s t i s j a b l q
JUSTIFICATION  z^ y s t i f i k a s j o~
JUSTIFIE  z^ y s t i f i
JUSTIFIER  z^ y s t i f j e
JUSTIFIERA  z^ y s t i f i r a
JUSTIFIÉES  z^ y s t i f j e
JUSTIN  z^ y s t e~
JUVÉNILE  z^ y v e n i l q
JUVÉNILITÉ  z^ y v e n i l i t e
JÉRÔME  z^ e r o m
JÉSUITE  z^ e z h i t
JÉSUITES  z^ e z h i t
JÉSUS  z^ e z y
KARL  k a r l
KARL  k a r l q
KEEPSAKES  k i p s e k
KIA-HING  k j a i ng
KIANG-SOU  k j a~ ng s u
KILOMÈTRES  k i l o^ m e^ t r q
KIN-FO  k i n f o
KIN-FO  k i n f o^
KIOSQUES  k j o^ s k x^ z
KIRSCH  k i r s^
KISS  k i s
KONG  k o~ ng
KUNANRIMA  k u n a n r i m a
KÉPI  k e p i
L'  l
L'A  l a
L'A-T-IL  l a t i l
L'ABANDON  l a b a~ d o~
L'ABANDONNA  l a b a~ d o^ n a
L'ABANDONNAIT  l a b a~ d o^ n e^
L'ABANDONNE  l a b a~ d o^ n q
L'ABANDONNER  l a b a~ d o^ n e
L'ABATTOIR  l a b a t w a r
L'ABATTRE  l a b a t r q
L'ABATTRE  l a b a t r
L'ABBÉ  l a b e
L'ABOMINABLE  l a b o^ m i n a b l q
L'ABONDANCE  l a b o~ d a~ s
L'ABONDANTE  l a b o~ d a~ t
L'ABORDERONS  l a b o^ r d x^ r o~
L'ABRI  l a b r i
L'ABSENCE  l a p s a~ s
L'ABSINTHE  l a p s e~ t
L'ABSOLUTION  l a p s o^ l y s j o~
L'ABSURDITÉ  l a p s y r d i t e
L'ABUS  l a b y
L'ABUSE  l a b y z q
L'ABÎME  l a b i m
L'ACAJOU  l a k a z^ u
L'ACCABLAIENT  l a k a b l e^
L'ACCABLAIT  l a k a b l e^
L'ACCABLEMENT  l a k a b l x^ m a~
L'ACCABLENT  l a k a b l
L'ACCABLEZ  l a k a b l e
L'ACCENT  l a k s a~
L'ACCEPTA  l a k s e^ p t a
L'ACCEPTAIT  l a k s e^ p t e^ t
L'ACCEPTE  l a k s e^ p t
L'ACCOMPAGNAIT  l a k o~ p a n j e^ t
L'ACCOMPAGNAIT  l a k o~ p a n j e^
L'ACCOMPAGNENT  l a k o~ p a n j
L'ACCOMPAGNERAI  l a k o~ p a n j x^ r e
L'ACCOMPLISSEMENT  l a k o~ p l i s m a~
L'ACCORDE  l a k o^ r d q
L'ACCUSATION  l a k y z a s j o~
L'ACCUSER  l a k y z e
L'ACCÈS  l a k s e^
L'ACHETEUR  l a s^ x^ t x^ r
L'ACHEVEZ  l a s^ x^ v e
L'ACHÈTE  l a s^ e^ t
L'ACTE  l a k t q
L'ACTEUR  l a k t x^ r
L'ACTION  l a k s j o~
L'ADMINISTRATION  l a d m i n i s t r a s j o~
L'ADMIRABLE  l a d m i r a b l
L'ADMIRATION  l a d m i r a s j o~
L'ADOLESCENT  l a d o^ l e s a~
L'ADORAI  l a d o^ r e
L'ADORAIENT  l a d o^ r e^
L'ADORE  l a d o^ r
L'ADRESSE  l a d r e^ s
L'AFFAIRE  l a f e^ r
L'AFFECTION  l a f e^ k s j o~
L'AFFECTUOSITÉ  l a f e^ k t y o z i t e
L'AFFICHE  l a f i s^
L'AFFIRME  l a f i r m
L'AFFIRMER  l a f i r m e
L'AFFREUSE  l a f r x z
L'AGENCE  l a z^ a~ s
L'AGENT  l a z^ a~
L'AGITAIENT  l a z^ i t e^
L'AGITAIT  l a z^ i t e^
L'AGONIE  l a g o^ n i
L'AGRANDIR  l a g r a~ d i r
L'AGRICULTURE  l a g r i k y l t y r
L'AI  l e
L'AI-JE  l e z^
L'AIDAIT  l e^ d e^ t
L'AIDE  l e^ d
L'AIDER  l e d e r
L'AIDERA  l e^ d x^ r a
L'AIGUE-MARINE  l e g m a r i n
L'AIGUILLE  l e g h i j
L'AIGUISER  l e g i z e r
L'AILERON  l e^ l r o~
L'AIMABLE  l e^ m a b l
L'AIMAIT  l e^ m e^
L'AIME  l e^ m q
L'AIME  l e^ m
L'AIMENT  l e^ m t
L'AIMER  l e m e
L'AIMERA  l e^ m x^ r a
L'AIMERAIS  l e^ m x^ r e^
L'AIMEREZ  l e^ m x^ r e
L'AIMERIEZ  l e^ m x^ r j e
L'AIMES  l e^ m q
L'AIR  l e^ r
L'AIR  l e^ r q
L'AISANCE  l e^ z a~ s
L'AISE  l e^ z
L'AIT  l e^
L'ALBINOS  l a l b i n o s
L'ALLA  l a l a
L'ALLEMAGNE  l a l m a n~ q
L'ALLÉE  l a l e
L'ALMANACH  l a l m a n a k
L'ALTITUDE  l a l t i t y d q
L'AMANT  l a m a~
L'AMBASSADE  l a~ b a s a d
L'AMBASSADE  l a~ b a s a d x^
L'AMBASSADE  l a~ b a s a d q
L'AMBASSADEUR  l a~ b a s a d x^ r
L'AMBASSADRICE  l a~ b a s a d r i s
L'AMBIGU  l a~ b i g y
L'AMBITIEUSE  l a~ b i s j x z
L'AMBITION  l a~ b i s j o~
L'AMBLE  l a~ b l
L'AMENA  l a m x^ n a
L'AMENER  l a m x^ n e r
L'AMERTUME  l a m e^ r t y m
L'AMI  l a m i
L'AMIE  l a m i
L'AMITIÉ  l a m i t j e
L'AMORÇANT  l a m o^ r s a~
L'AMOUR  l a m u r
L'AMOUREUSE  l a m u r x z
L'AMOUREUX  l a m u r x
L'AMPHITRYON  l a~ f i t r i j o~
L'AMÈNE  l a m e^ n q
L'AMÈNE  l a m e^ n
L'AMÉLIORATION  l a m e l j o^ r a s j o~
L'AMÉRIQUE  l a m e r i k
L'AN  l a~
L'ANALYSE  l a n a l i z q
L'ANCIEN  l a~ s j e~
L'ANCIENNE  l a~ s j e^ n
L'ANGE  l a~ z^
L'ANGLE  l a~ g l
L'ANGLE  l a~ g l q
L'ANGLETERRE  l a~ g l x^ t e^ r
L'ANGÉLIQUE  l a~ z^ e l i k q
L'ANGÉLUS  l a~ z^ e l y s
L'ANNEAU  l a n o
L'ANNÉE  l a n e
L'ANTICHAMBRE  l a~ t i s^ a~ b r
L'ANTIF  l a~ t i f
L'ANTIQUE  l a~ t i k q
L'ANXIÉTÉ  l a~ k s j e t e
L'ANÉANTIR  l a n e a~ t i r
L'ANÉANTISSEMENT  l a n e a~ t i s m a~
L'APAISER  l a p e z e
L'APERCEVOIR  l a p e^ r s x^ v w a r
L'APERÇUT  l a p e^ r s y
L'APPARENCE  l a p a r a~ s
L'APPARENTE  l a p a r a~ t
L'APPARTEMENT  l a p a r t x^ m a~
L'APPELA  l a p l a
L'APPELAIENT  l a p x^ l e^
L'APPELAIS  l a p x^ l e^
L'APPELAIT  l a p x^ l e^ t
L'APPELAIT  l a p x^ l e^
L'APPELANT  l a p x^ l a~
L'APPELER  l a p x^ l e r
L'APPELER  l a p x^ l e
L'APPELEZ  l a p x^ l e
L'APPELIONS  l a p x^ l j o~
L'APPELLE  l a p e^ l q
L'APPLICATION  l a p l i k a s j o~
L'APPORTÂT  l a p o^ r t a
L'APPRENDRA  l a p r a~ d r a
L'APPRENDRAI  l a p r a~ d r e
L'APPRENDRE  l a p r a~ d r
L'APPRENDS  l a p r a~ z
L'APPRENNE  l a p r e^ n
L'APPRIRENT  l a p r i r t
L'APPROUVAIT  l a p r u v e^ t
L'APPROUVE  l a p r u v q
L'APPUI  l a p h i
L'APPÂT  l a p a
L'APPÉTIT  l a p e t i
L'APRÈS-MIDI  l a p r e^ m i d i
L'ARBRE  l a r b r
L'ARBRE  l a r b r q
L'ARCHEVÊCHÉ  l a r s^ x^ v e s^ e
L'ARGENT  l a r z^ a~
L'ARGOT  l a r g o
L'ARMOIRE  l a r m w a r
L'ARMÉE  l a r m e
L'ARRACHA  l a r a s^ a
L'ARRACHER  l a r a s^ e r
L'ARRANGEAIT  l a r a~ z^ e^
L'ARRESTATION  l a r e^ s t a s j o~
L'ARRIVÉE  l a r i v e
L'ARRIÈRE-BOUTIQUE  l a r j e^ r b u t i k
L'ARRONDISSEMENT  l a r o~ d i s m a~
L'ARROSANT  l a r o z a~
L'ARRÊT  l a r e^
L'ARRÊTA  l a r e^ t a
L'ARRÊTANT  l a r e^ t a~
L'ARRÊTANT  l a r e^ t a~ t
L'ARRÊTERA  l a r e^ t r a
L'ART  l a r
L'ARTISAN  l a r t i z a~
L'AS  l a
L'AS  l a z
L'AS-TU  l a t y
L'ASCENSEUR  l a s a~ s x^ r
L'ASPECT  l a s p e^
L'ASSASSIN  l a s a s e~
L'ASSASSINER  l a s a s i n e
L'ASSASSINERAIS  l a s a s i n x^ r e^
L'ASSIETTE  l a s j e^ t
L'ASSOCIATION  l a s o^ s j a s j o~
L'ASSOMBRIT  l a s o~ b r i
L'ASSURANCE  l a s y r a~ s
L'ASSURANT  l a s y r a~
L'ATHLÉTIQUE  l a t l e t i k
L'ATMOSPHÈRE  l a t m o^ s f e^ r
L'ATROCE  l a t r o^ s
L'ATROCITÉ  l a t r o^ s i t e
L'ATTACHAIENT  l a t a s^ e^ t
L'ATTACHE  l a t a s^
L'ATTACHEMENT  l a t a s^ m a~
L'ATTACHER  l a t a s^ e
L'ATTEIGNIT  l a t e^ n~ i t
L'ATTEIGNIT  l a t e^ n j i t
L'ATTEINDRE  l a t e~ d r
L'ATTELAGE  l a t l a z^
L'ATTELANT  l a t x^ l a~ t
L'ATTEND  l a t a~
L'ATTEND  l a t a~ t
L'ATTENDAIENT  l a t a~ d e^
L'ATTENDAIT  l a t a~ d e^
L'ATTENDAIT  l a t a~ d e^ t
L'ATTENDANT  l a t a~ d a~
L'ATTENTION  l a t a~ s j o~
L'ATTIRANT  l a t i r a~ t
L'ATTIRANTE  l a t i r a~ t
L'ATTITUDE  l a t i t y d q
L'ATTITUDE  l a t i t y d
L'ATTRAPE  l a t r a p
L'ATTRIBUANT  l a t r i b y a~ t
L'AUDACE  l o d a s
L'AUDACIEUSE  l o d a s j x z
L'AUMÔNE  l o m o n q
L'AUMÔNE  l o m o n
L'AUNE  l o n q
L'AURA  l o^ r a
L'AURAI  l o^ r e
L'AURAIENT  l o^ r e^
L'AURAIS  l o^ r e^
L'AURAIT  l o^ r e^
L'AURAIT  l o^ r e^ t
L'AUREZ  l o r e
L'AURIEZ-VOUS  l o^ r j e v u
L'AURIONS  l o r j o~
L'AUTEUR  l o t x^ r
L'AUTOMNE  l o t o^ n q
L'AUTORISAIS  l o t o^ r i z e^ z
L'AUTORITÉ  l o t o^ r i t e
L'AUTRE  l o t r
L'AUTRE  l o t r q
L'AUTRE  l o t r x^
L'AUVENT  l o v a~
L'AVAIENT  l a v e^
L'AVAIS  l a v e^
L'AVAIS  l a v e^ z
L'AVAIT  l a v e^
L'AVAIT  l a v e^ t
L'AVANCE  l a v a~ s
L'AVANT-DERNIÈRE  l a v a~ d e^ r n j e^ r
L'AVANT-GOÛT  l a v a~ g u
L'AVANT-VEILLE  l a v a~ v e^ j
L'AVANTAGE  l a v a~ t a z^ q
L'AVANTAGE  l a v a~ t a z^
L'AVARE  l a v a r
L'AVARICE  l a v a r i s
L'AVENIR  l a v n i r
L'AVENIR  l a v x^ n i r
L'AVENIR  l a v x n i r
L'AVENUE  l a v x^ n y
L'AVERSE  l a v e^ r s x^
L'AVERSION  l a v e^ r s j o~
L'AVEUGLE  l a v x^ g l
L'AVEUGLE  l a v x^ g l q
L'AVEZ  l a v e
L'AVEZ  l a v e z
L'AVEZ-VOUS  l a v e v u
L'AVIEZ  l a v j e
L'AVILISSEMENT  l a v i l i s m a~
L'AVIONS  l a v j o~
L'AVIS  l a v i
L'AVOIR  l a v w a r
L'AVONS  l a v o~
L'AVOUE  l a v u
L'AVOUER  l a v w e r
L'AVOUES  l a v u
L'AVÈNEMENT  l a v e^ n m a~
L'AYANT  l e^ j a~
L'AZUR  l a z y r
L'AÉRATION  l a e r a s j o~
L'AÉROCAB  l a e r o k a b
L'AÉRONEF  l a e r o^ n e^ f
L'AÎNÉ  l e n e
L'AÎNÉE  l e n e
L'AÏEULE  l a j x^ l q
L'AÏEULE  l a j x^ l
L'EAU  l o
L'EAU-DE-ROBEC  l o d x^ r o^ b e^ k
L'EAU-DE-VIE  l o d x^ v i
L'EFFERVESCENCE  l e f e^ r v e s a~ s
L'EFFET  l e f e^
L'EFFROI  l e f r w a
L'EFFRONTERIE  l e f r o~ t x^ r i
L'EFFROYABLE  l e f r w a j a b l q
L'EMBARRAS  l a~ b a r a
L'EMBRANCHEMENT  l a~ b r a~ s^ m a~
L'EMBRASSA  l a~ b r a s a
L'EMBRASSAIT  l a~ b r a s e^ t
L'EMBRASSER  l a~ b r a s e
L'EMBRASURE  l a~ b r a z y r
L'EMBUSCADE  l a~ b y s k a d q
L'EMMENER  l a~ m q n e r
L'EMMENER  l a~ m x^ n e
L'EMMENEZ  l a~ m x^ n e
L'EMMÈNE  l a~ m e^ n
L'EMMÈNERAS  l a~ m e^ n x^ r a z
L'EMPAUME  l a~ p o m
L'EMPEIGNE  l a~ p e^ n~ q
L'EMPEREUR  l a~ p x^ r x^ r
L'EMPEREUR  l a~ p r x^ r
L'EMPIRE  l a~ p i r
L'EMPLETTE  l a~ p l e^ t
L'EMPLOI  l a~ p l w a
L'EMPLOYER  l a~ p l w a j e
L'EMPOISONNÂT  l a~ p w a z o^ n a
L'EMPORTA  l a~ p o^ r t a
L'EMPORTAIS  l a~ p o^ r t e^ z
L'EMPORTAIT  l a~ p o^ r t e^
L'EMPORTE  l a~ p o^ r t
L'EMPREINTE  l a~ p r e~ t
L'EMPRISONNEMENT  l a~ p r i z o^ n x^ m a~
L'EMPÊCHAIT  l a~ p e s^ e^
L'EMPÊCHE  l a~ p e s^
L'EMPÊCHER  l a~ p e s^ e
L'EMPÊCHERA  l a~ p e s^ x^ r a
L'EN  l a~
L'EN  l a~ n
L'ENCOLURE  l a~ k o^ l y r
L'ENCONTRE  l a~ k o~ t r x^
L'ENCOURAGER  l a~ k u r a z^ e
L'ENCRE  l a~ k r q
L'ENDROIT  l a~ d r w a
L'ENDURER  l a~ d y r e
L'ENFANCE  l a~ f a~ s
L'ENFANT  l a~ f a~
L'ENFER  l a~ f e^ r
L'ENFONÇA  l a~ f o~ s a
L'ENGAGEMENT  l a~ g a z^ m a~
L'ENGAGEMENT  l a~ g a z^ x^ m a~
L'ENGOUEMENT  l a~ g u m a~
L'ENGOURDIT  l a~ g u r d i t
L'ENGRAISSANT  l a~ g r e^ s a~
L'ENLEVER  l a~ l x^ v e
L'ENLÈVEMENT  l a~ l e^ v x^ m a~
L'ENLÈVEMENT  l a~ l e^ v m a~
L'ENNUI  l a~ n h i
L'ENSEIGNE  l a~ s e^ n~ q
L'ENSEMBLE  l a~ s a~ b l
L'ENSEMBLE  l a~ s a~ b l q
L'ENSEVELIR  l a~ s x^ v x^ l i r
L'ENSEVELIS  l a~ s x^ v x^ l i
L'ENSEVELÎT  l a~ s x^ v x^ l i
L'ENTEND  l a~ t a~
L'ENTENDAIT  l a~ t a~ d e^
L'ENTENDAIT  l a~ t a~ d e^ t
L'ENTENDE  l a~ t a~ d
L'ENTENDEZ  l a~ t a~ d e
L'ENTENDIRENT  l a~ t a~ d i r
L'ENTENDIS  l a~ t a~ d i
L'ENTENDIT  l a~ t a~ d i
L'ENTENDRA  l a~ t a~ d r a
L'ENTENDRAIT  l a~ t a~ d r e^
L'ENTENDRE  l a~ t a~ d r
L'ENTENDRE  l a~ t a~ d r q
L'ENTENDS  l a~ t a~
L'ENTORTILLE  l a~ t o^ r t i j
L'ENTOUR  l a~ t u r
L'ENTOURA  l a~ t u r a
L'ENTOURAIENT  l a~ t u r e^
L'ENTOURAIT  l a~ t u r e^
L'ENTOURE  l a~ t u r
L'ENTRAIN  l a~ t r e~
L'ENTRAÎNAIT  l a~ t r e n e^
L'ENTRAÎNANT  l a~ t r e^ n a~
L'ENTRAÎNEMENT  l a~ t r e^ n m a~
L'ENTREMISE  l a~ t r x^ m i z
L'ENTRETENIR  l a~ t r x^ t x^ n i r
L'ENTRETIEN  l a~ t r x^ t j e~
L'ENTRÉE  l a~ t r e
L'ENVELOPPA  l a~ v x^ l o^ p a
L'ENVELOPPE  l a~ v x^ l o^ p
L'ENVELOPPE  l a~ v l o^ p
L'ENVELOPPER  l a~ v x^ l o^ p e r
L'ENVERRAI  l a~ v e r e
L'ENVERS  l a~ v e^ r
L'ENVI  l a~ v i
L'ENVIE  l a~ v i
L'ENVIRONNAIENT  l a~ v i r o^ n e^
L'ENVOI  l a~ v w a
L'ENVOYAIT  l a~ v w a j e^
L'ENVOYER  l a~ v w a j e r
L'ERMITAGE  l e^ r m i t a z^
L'ESCALIER  l e^ s k a l j e
L'ESCARPEMENT  l e^ s k a r p x^ m a~
L'ESCRIME  l e^ s k r i m q
L'ESCULAPE  l e^ s k y l a p
L'ESPACE  l e^ s p a s
L'ESPAGNOLETTE  l e^ s p a n j o^ l e^ t
L'ESPALIER  l e^ s p a l j e
L'ESPOIR  l e^ s p w a r
L'ESPRIT  l e^ s p r i
L'ESPÈCE  l e^ s p e^ s
L'ESPÈRE  l e^ s p e^ r
L'ESPÉRAIT  l e^ s p e r e^
L'ESPÉRANCE  l e^ s p e r a~ s
L'ESPÉRER  l e^ s p e r e
L'EST  l e^
L'EST  l e^ t
L'ESTIMABLE  l e^ s t i m a b l
L'ESTIME  l e^ s t i m
L'ESTOMAC  l e^ s t o^ m a
L'ESTRADE  l e^ s t r a d
L'EUROPE  l x r o^ p
L'EUROPÉENNE  l x r o^ p e e^ n
L'EUSSENT  l y s t
L'EUSSIEZ  l y s j e
L'EX-DÉBARDEUR  l e^ k s d e b a r d x^ r
L'EXAGÉRATION  l e^ g z a z^ e r a s j o~
L'EXALTAIT  l e^ g z a l t e^
L'EXAMEN  l e^ g z a m e~
L'EXAMINAIENT  l e^ g z a m i n e^ t
L'EXAMINAIT  l e^ g z a m i n e^ t
L'EXCELLENCE  l e^ k s e l a~ s
L'EXCELLENTE  l e^ k s e l a~ t
L'EXCEPTION  l e^ k s e^ p s j o~
L'EXCESSIVE  l e^ k s e s i v
L'EXCUSA  l e^ k s k y z a
L'EXCUSAIT  l e^ k s k y z e^ t
L'EXCUSER  l e^ k s k y z e r
L'EXCÈS  l e^ k s e^
L'EXEMPLE  l e^ g z a~ p l
L'EXEMPLE  l e^ g z a~ p l q
L'EXERCER  l e^ g z e^ r s e
L'EXERCICE  l e^ g z e^ r s i s
L'EXHALAISON  l e^ g z a l e^ z o~
L'EXIGE  l e^ g z i z^ q
L'EXISTENCE  l e^ g z i s t a~ s
L'EXPIATION  l e^ k s p j a s j o~
L'EXPLOITATION  l e^ k s p l w a t a s j o~
L'EXPLOSION  l e^ k s p l o z j o~
L'EXPOSER  l e^ k s p o z e r
L'EXPRESS  l e^ k s p r e^ s
L'EXPRESSION  l e^ k s p r e s j o~
L'EXPRÈS  l e^ k s p r e^
L'EXPÉRIENCE  l e^ k s p e r j a~ s
L'EXTERMINER  l e^ k s t e^ r m i n e
L'EXTRACTION  l e^ k s t r a k s j o~
L'EXTRADITION  l e^ k s t r a d i s j o~
L'EXTRÉMITÉ  l e^ k s t r e m i t e
L'EXTRÊME  l e^ k s t r e^ m
L'EXUBÉRANCE  l e^ g z y b e r a~ s
L'EXÉCRABLE  l e^ k s e k r a b l q
L'EÛT  l y
L'EÛT  l y t
L'HABILE  l a b i l
L'HABILETÉ  l a b i l x^ t e
L'HABILLEMENT  l a b i j m a~
L'HABILLER  l a b i j e
L'HABITATION  l a b i t a s j o~
L'HABITUDE  l a b i t y d q
L'HABITUDE  l a b i t y d
L'HABITUERAI  l a b i t y r e
L'HALEINE  l a l e^ n
L'HERBE  l e^ r b q
L'HERBE  l e^ r b
L'HEURE  l x^ r
L'HEURE  l x^ r q
L'HEUREUSE  l x^ r x z
L'HILARITÉ  l i l a r i t e
L'HISTOIRE  l i s t w a r
L'HIVER  l i v e^ r
L'HOGARTH  l o^ g a r t
L'HOMME  l o^ m
L'HOMME  l o^ m q
L'HONNEUR  l o^ n x^ r
L'HONNÊTE  l o^ n e^ t
L'HONNÊTETÉ  l o^ n e^ t x^ t e
L'HONOREREZ  l o^ n o^ r x^ r e
L'HORIZON  l o^ r i z o~
L'HORLOGE  l o^ r l o^ z^
L'HORREUR  l o^ r x^ r
L'HORRIBLE  l o^ r i b l
L'HORRIBLE  l o^ r i b l q
L'HOSPICE  l o^ s p i s
L'HOSPITALITÉ  l o^ s p i t a l i t e
L'HUILE  l h i l
L'HUISSIER  l h i s j e
L'HUMANITÉ  l y m a n i t e
L'HUMEUR  l y m x^ r
L'HUMIDE  l y m i d
L'HUMIDITÉ  l y m i d i t e
L'HUMILITÉ  l y m i l i t e
L'HYGIÈNE  l i z^ j e^ n
L'HÉRITIER  l e r i t j e
L'HÉROÏNE  l e r o^ i n
L'HÉROÏNE  l e r o^ i n q
L'HÉSITATION  l e z i t a s j o~
